surface_m2,lien_site_parcours_bd,adres,dessinateur,commune_gemeente,adresse,naam_fresco_nl,date,nom_de_la_fresque,realisateur,link_site_striproute,image,maison_d_edition,coordonnees_geographiques
28.0,https://www.parcoursbd.brussels/fresques/passe-moi-lciel/,Minimenstraat 93 - 1000 Brussel,Stuf et Janry,Bruxelles - Brussel,Rue des Minimes 93 - 1000 Bruxelles,Oh! Lieve hemel,2002,Passe-moi l'ciel,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/passe-moi-lciel/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/29_passe_moi_ciel_rue_minimes_09-768x1024.jpg,Dupuis,"[50.83828906744263, 4.3515337869331585]"
160.0,https://www.parcoursbd.brussels/fresques/titeuf/,Emile Bockstaellaan 1 - 1020 Laken,Zep,Laeken - Laken,Bouvelard Emile Bockstael 1 - 1020 Laeken,Titeuf,2006,Titeuf,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/titeuf/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/30_titeuf_av_bockstael_04_vb-685x1024.jpg,Glénat,"[50.869869775904135, 4.343139536987986]"
55.0,https://www.parcoursbd.brussels/fresques/yoko-tsuno/,Nieuwland 25 - 1000 Brussel,Roger Leloup,Bruxelles - Brussel,Rue Terre-Neuve 25 - 1000 Bruxelles,Yoko Tsuno,2011,Yoko Tsuno,Art Mural,https://www.parcoursbd.brussels/nl/stripmuren/yoko-tsuno/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/40_yoko_tsuno_rue_terre_neuve_04_vb-683x1024.jpg,Dupuis,"[50.842558093054976, 4.34731674408932]"
75.0,https://www.parcoursbd.brussels/fresques/thorgal/,Anneessensplein 2A - 1000 Brussel,Rosinski et Van Hamme,Bruxelles - Brussel,Place Anneessens 2A - 1000 Bruxelles,Thorgal,2012,Thorgal,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/thorgal/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/49_thorgal_pl_anneessens_18-768x1024.jpg,Le Lombard,"[50.843602037632934, 4.344076194341201]"
73.6,https://www.parcoursbd.brussels/fresques/leonard/,Kapucijnenstraat 23A - 1000 Brussel,Turk,Bruxelles - Brussel,Rue des Capucins 23A - 1000 Bruxelles,Leonardo,2015,Léonard,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/leonard/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/51_leonard_rue_capucins_01-683x1024.jpg,Le Lombard,"[50.838032826818626, 4.347359024061672]"
206.9,https://www.parcoursbd.brussels/fresques/les-schtroumpfs/,Europakruispunt 3 - Doorgang Hilton - 1000 Brussel,Peyo,Bruxelles - Brussel,Carrefour de l'Europe 3 - Passage Hilton - 1000 Bruxelles,De Smurfen,2017,Les Schtroumpfs,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/les-schtroumpfs/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/54_schtroumpfs_carrefour_europe_06_vb-1-768x512.jpg,IMPS,"[50.845616976922564, 4.355934267340923]"
54.0,https://www.parcoursbd.brussels/fresques/kinky-cosy/,Gootstraat 24 - 1000 Brussel,Nix (Marnix Verduyn),Bruxelles - Brussel,Rue de la Gouttière 24 - 1000 Bruxelles,Kinky & Cosy,2016,Kinky & Cosy,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/kinky-cosy/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/59_kinky_cosi_rue_bogards_01-683x1024.jpg,Le Lombard,"[50.84478273048297, 4.347727541876121]"
116.84,https://www.parcoursbd.brussels/fresques/petit-poilu/,Parochiestraat 34 - 1130 Haren,Pierre Bailly,Haren,Rue de la Paroisse 34 - 1130 Haren,Stoppeltje,2020,Petit Poilu,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/petit-poilu/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/71_petit_poilu_rue_paroisse_01-768x576.jpeg,Dupuis,"[50.892449198023265, 4.419908995293984]"
267.0,https://www.parcoursbd.brussels/fresques/un-monde-a-lenvers/,Emile Bockstaellaan 209A - 1020 Laken,Atak,Laeken - Laken,Bd Emile Bockstael 209 A - 1020 Laeken,De omgekeerde wereld,2021,Un monde à l'envers,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/un-monde-a-lenvers/,https://www.parcoursbd.brussels/wp-content/uploads/2021/09/fresco_original_001-768x927.jpg,Verlagshaus Jacoby & Stuart,"[50.87799860951855, 4.348989650337471]"
160.0,https://www.parcoursbd.brussels/fresques/la-cabane/,Kerkeveldstraat 4 - 1020 Laken,Léonie Bischoff,Laeken - Laken,Rue du Champ de l'Eglise 4 - 1020 Laeken,De boomhut,2022,La Cabane,Urbana,https://www.parcoursbd.brussels/nl/stripmuren/la-cabane/,https://www.parcoursbd.brussels/wp-content/uploads/2022/06/DSC0869-768x1155.jpg,-,"[50.87724758002763, 4.354653817475743]"
